Id,AmuletId,NeedDewPoint1,NeedDewPoint2,NeedDewPoint3,NeedDewPoint4,NeedDewPoint5,Priority,Limit,CommenceDate,CompleteDate,PickupViewStartDate,PickupViewEndDate,MemoryPickupEventId
1101,40050039,4000,6000,9000,9000,9000,1199,0,2019/08/22 06:00:00,2019/08/31 05:59:59,2019/08/22 06:00:00,2019/08/31 05:59:59,0
1102,40050040,4000,6000,9000,9000,9000,1198,0,2019/08/22 06:00:00,2019/08/31 05:59:59,2019/08/22 06:00:00,2019/08/31 05:59:59,0
1103,40030035,200,300,400,400,400,1197,0,2019/08/22 06:00:00,2019/08/31 05:59:59,2019/08/22 06:00:00,2019/08/31 05:59:59,0
1201,40050069,4000,6000,9000,9000,9000,1299,0,2019/08/31 06:00:00,,2019/12/26 06:00:00,2019/12/31 05:59:59,0
1202,40040057,2000,3000,4000,4000,4000,1298,0,2019/08/31 06:00:00,,2019/08/31 06:00:00,2019/09/12 05:59:59,0
1301,40050070,4000,6000,9000,9000,9000,1399,0,2019/09/12 06:00:00,,2019/09/12 06:00:00,2019/10/04 05:59:59,0
1302,40040058,2000,3000,4000,4000,4000,1398,0,2019/09/12 06:00:00,,2019/09/12 06:00:00,2019/10/04 05:59:59,0
1401,40050072,4000,6000,9000,9000,9000,1499,0,2019/10/04 06:00:00,,2019/10/04 06:00:00,2019/10/18 05:59:59,0
1402,40050073,4000,6000,9000,9000,9000,1498,0,2019/10/04 06:00:00,,2019/10/04 06:00:00,2019/10/18 05:59:59,0
1403,40040059,2000,3000,4000,4000,4000,1497,0,2019/10/04 06:00:00,,2019/10/04 06:00:00,2019/10/18 05:59:59,0
1501,40050019,4000,6000,9000,9000,9000,1599,0,2019/10/18 06:00:00,2019/10/31 05:59:59,2019/10/18 06:00:00,2019/10/31 05:59:59,0
1502,40050016,4000,6000,9000,9000,9000,1598,0,2019/10/18 06:00:00,2019/10/31 05:59:59,2019/10/18 06:00:00,2019/10/31 05:59:59,0
1503,40050017,4000,6000,9000,9000,9000,1597,0,2019/10/18 06:00:00,2019/10/31 05:59:59,2019/10/18 06:00:00,2019/10/31 05:59:59,0
1504,40040060,2000,3000,4000,4000,4000,1596,0,2019/10/18 06:00:00,2019/10/31 05:59:59,2019/10/18 06:00:00,2019/10/31 05:59:59,0
1505,40040029,2000,3000,4000,4000,4000,1595,0,2019/10/18 06:00:00,2019/10/31 05:59:59,2019/10/18 06:00:00,2019/10/31 05:59:59,0
1506,40030027,200,300,400,400,400,1594,0,2019/10/18 06:00:00,2019/10/31 05:59:59,2019/10/18 06:00:00,2019/10/31 05:59:59,0
1601,40050075,4000,6000,9000,9000,9000,1699,0,2019/10/31 06:00:00,,2019/10/31 06:00:00,2019/11/13 05:59:59,0
1602,40040062,2000,3000,4000,4000,4000,1698,0,2019/10/31 06:00:00,,2019/10/31 06:00:00,2019/11/13 05:59:59,0
1701,40050076,4000,6000,9000,9000,9000,1799,0,2019/11/13 06:00:00,,2019/11/13 06:00:00,2019/12/02 05:59:59,0
1702,40040063,2000,3000,4000,4000,4000,1798,0,2019/11/13 06:00:00,,2019/11/13 06:00:00,2019/12/02 05:59:59,0
1801,40050083,4000,6000,9000,9000,9000,1899,0,2019/12/02 06:00:00,,2019/12/02 06:00:00,2019/12/12 05:59:59,0
1802,40040064,2000,3000,4000,4000,4000,1898,0,2019/12/02 06:00:00,,2019/12/02 06:00:00,2019/12/12 05:59:59,0
1901,40050084,4000,6000,9000,9000,9000,2797,0,2020/03/27 06:00:00,,,,20817
1902,40050028,4000,6000,9000,9000,9000,2796,0,2020/03/27 06:00:00,,,,20817
1903,40050029,4000,6000,9000,9000,9000,2795,0,2020/03/27 06:00:00,,,,20817
1904,40040065,2000,3000,4000,4000,4000,2794,0,2020/03/27 06:00:00,,,,20817
1905,40040036,2000,3000,4000,4000,4000,2793,0,2020/03/27 06:00:00,,,,20817
1906,40030032,200,300,400,400,400,2792,0,2020/03/27 06:00:00,,,,20817
2001,40050085,4000,6000,9000,9000,9000,2099,0,2019/12/31 06:00:00,2020/01/14 05:59:59,2019/12/31 06:00:00,2020/01/14 05:59:59,0
2002,40050032,4000,6000,9000,9000,9000,2098,0,2019/12/31 06:00:00,2020/01/14 05:59:59,2019/12/31 06:00:00,2020/01/14 05:59:59,0
2003,40050033,4000,6000,9000,9000,9000,2097,0,2019/12/31 06:00:00,2020/01/14 05:59:59,2019/12/31 06:00:00,2020/01/14 05:59:59,0
2004,40040066,2000,3000,4000,4000,4000,2096,0,2019/12/31 06:00:00,2020/01/14 05:59:59,2019/12/31 06:00:00,2020/01/14 05:59:59,0
2005,40040037,2000,3000,4000,4000,4000,2095,0,2019/12/31 06:00:00,2020/01/14 05:59:59,2019/12/31 06:00:00,2020/01/14 05:59:59,0
2101,40050086,4000,6000,9000,9000,9000,2199,0,2020/01/14 06:00:00,,2020/01/14 06:00:00,2020/01/29 05:59:59,0
2102,40040068,2000,3000,4000,4000,4000,2198,0,2020/01/14 06:00:00,,2020/01/14 06:00:00,2020/01/29 05:59:59,0
2201,40050088,4000,6000,9000,9000,9000,2299,0,2020/01/29 06:00:00,2020/02/17 05:59:59,2020/01/29 06:00:00,2020/02/17 05:59:59,0
2202,40050092,4000,6000,9000,9000,9000,2298,0,2020/01/29 06:00:00,2020/02/17 05:59:59,2020/01/29 06:00:00,2020/02/17 05:59:59,0
2301,40050089,4000,6000,9000,9000,9000,2399,0,2020/02/04 06:00:00,2020/02/17 05:59:59,2020/02/04 06:00:00,2020/02/17 05:59:59,0
2302,40050091,4000,6000,9000,9000,9000,2398,0,2020/02/04 06:00:00,2020/02/17 05:59:59,2020/02/04 06:00:00,2020/02/17 05:59:59,0
2401,40050093,4000,6000,9000,9000,9000,2499,0,2020/02/14 06:00:00,2020/02/28 05:59:59,2020/02/14 06:00:00,2020/02/28 05:59:59,0
2402,40050039,4000,6000,9000,9000,9000,2498,0,2020/02/14 06:00:00,,2020/02/14 06:00:00,2020/02/28 05:59:59,0
2403,40050040,4000,6000,9000,9000,9000,2497,0,2020/02/14 06:00:00,,2020/02/14 06:00:00,2020/02/28 05:59:59,0
2404,40040070,2000,3000,4000,4000,4000,2496,0,2020/02/14 06:00:00,2020/02/28 05:59:59,2020/02/14 06:00:00,2020/02/28 05:59:59,0
2405,40030035,200,300,400,400,400,2495,0,2020/02/14 06:00:00,,2020/02/14 06:00:00,2020/02/28 05:59:59,0
2501,40050095,4000,6000,9000,9000,9000,2599,0,2020/02/28 06:00:00,,2020/02/28 06:00:00,2020/03/12 05:59:59,0
2502,40040071,2000,3000,4000,4000,4000,2598,0,2020/02/28 06:00:00,,2020/02/28 06:00:00,2020/03/12 05:59:59,0
2601,40050096,4000,6000,9000,9000,9000,2699,0,2020/03/12 06:00:00,,2020/03/12 06:00:00,2020/03/31 05:59:59,0
2602,40050097,4000,6000,9000,9000,9000,2698,0,2020/03/12 06:00:00,,2020/03/12 06:00:00,2020/03/31 05:59:59,0
2603,40050098,4000,6000,9000,9000,9000,2697,0,2020/03/12 06:00:00,,2020/03/12 06:00:00,2020/03/31 05:59:59,0
2604,40040072,2000,3000,4000,4000,4000,2696,0,2020/03/12 06:00:00,,2020/03/12 06:00:00,2020/03/31 05:59:59,0
2701,40050101,4000,6000,9000,9000,9000,2799,0,2020/03/27 06:00:00,,2020/03/27 06:00:00,2020/04/13 05:59:59,0
2702,40050102,4000,6000,9000,9000,9000,2798,0,2020/03/27 06:00:00,,2020/03/27 06:00:00,2020/04/13 05:59:59,0
2801,40050099,4000,6000,9000,9000,9000,2899,0,2020/03/31 06:00:00,,2020/03/31 06:00:00,2020/04/13 05:59:59,0
2802,40040073,2000,3000,4000,4000,4000,2898,0,2020/03/31 06:00:00,,2020/03/31 06:00:00,2020/04/13 05:59:59,0
2901,40050100,4000,6000,9000,9000,9000,2999,0,2020/04/13 06:00:00,,2020/04/13 06:00:00,2020/04/20 05:59:59,0
2902,40040048,2000,3000,4000,4000,4000,2998,0,2020/04/13 06:00:00,,2020/04/13 06:00:00,2020/04/20 05:59:59,0
3001,40050057,4000,6000,9000,9000,9000,3099,0,2020/04/20 06:00:00,2020/05/12 05:59:59,2020/04/20 06:00:00,2020/05/12 05:59:59,0
3002,40040049,2000,3000,4000,4000,4000,3098,0,2020/04/20 06:00:00,2020/05/12 05:59:59,2020/04/20 06:00:00,2020/05/12 05:59:59,0
3003,40030039,200,300,400,400,400,3097,0,2020/04/20 06:00:00,2020/05/12 05:59:59,2020/04/20 06:00:00,2020/05/12 05:59:59,0
3101,40050103,4000,6000,9000,9000,9000,3199,0,2020/04/30 06:00:00,2020/05/12 05:59:59,2020/04/30 06:00:00,2020/05/12 05:59:59,0
3102,40050104,4000,6000,9000,9000,9000,3198,0,2020/04/30 06:00:00,2020/05/12 05:59:59,2020/04/30 06:00:00,2020/05/12 05:59:59,0
3201,40050105,4000,6000,9000,9000,9000,3299,0,2020/05/12 06:00:00,,2020/05/12 06:00:00,2020/05/29 05:59:59,0
3202,40040075,2000,3000,4000,4000,4000,3298,0,2020/05/12 06:00:00,,2020/05/12 06:00:00,2020/05/29 05:59:59,0
3301,40050106,4000,6000,9000,9000,9000,3399,0,2020/05/27 06:00:00,,2020/05/27 06:00:00,2020/06/12 05:59:59,0
3302,40040078,2000,3000,4000,4000,4000,3398,0,2020/05/27 06:00:00,,2020/05/27 06:00:00,2020/06/12 05:59:59,0
