Id,IsEffectMix,MaxLimitedValue,AbilityLimitedText
108,0,75,(Max{ability_limit0}%)
109,0,50,(Max{ability_limit0}%)
110,0,50,(Max{ability_limit0}%)
111,0,10,(Max{ability_limit0}%)
112,0,50,(Max{ability_limit0}%)
113,0,18,(Max{ability_limit0}%)
114,0,0,(Max{ability_limit0}%)
115,0,0,(Max{ability_limit0}%)
116,0,0,(Max{ability_limit0}%)
117,0,15,(Max{ability_limit0}%)
118,0,100,(Max{ability_limit0}%)
119,0,100,(Max{ability_limit0}%)
120,0,100,(Max{ability_limit0}%)
121,0,100,(Max{ability_limit0}%)
122,0,100,(Max{ability_limit0}%)
123,0,100,(Max{ability_limit0}%)
124,0,100,(Max{ability_limit0}%)
125,0,100,(Max{ability_limit0}%)
126,0,100,(Max{ability_limit0}%)
127,0,250,(Max{ability_limit0}%)
128,0,125,(Max{ability_limit0}%)
129,1,3,(Max3次)
130,0,100,(Max{ability_limit0}%)
131,0,8,(Max{ability_limit0}%)
132,1,3,(MaxⅢ)
133,0,150,(Max{ability_limit0}%)
134,0,75,(Max{ability_limit0}%)
135,0,150,(Max{ability_limit0}%)
136,0,75,(Max{ability_limit0}%)
137,1,8,(MaxⅠ)
138,1,10,(Max{ability_limit0}%)
139,0,60,(Max{ability_limit0}%)
140,1,15,(Max{ability_limit0}%)
141,1,40,(Max{ability_limit0}%)
142,1,0,ABILITY_LIMITED_TEXT_
144,0,25,(Max{ability_limit0}%)
145,1,3,(MaxⅢ)
